age;marital;address;income;inccat;car;carcat;ed;employ;retire;empcat;jobsat;gender;reside;wireless;multline;voice;pager;internet;callid;callwait;owntv;ownvcr;owncd;ownpda;ownpc;ownfax;news;response
55;Marrié(e);12;72;$50 - $74;36,2;Luxe;Inf au Bac;23;Non;6 à 10;Très satisfait;Femme;4;Non;Non;Oui;Non;Aucun;Non;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non
56;Non marrié(e);29;153;$75 - $124;76,9;Luxe;Inf au Bac;35;Non;6 à 10;Satisfait;Homme;1;Oui;Non;Oui;Oui;Aucun;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Oui
28;Marrié(e);9;28;$25 - $49;13,7;Economique;Bac +2;4;Non;Moins de 2;Neutre;Femme;3;Oui;Non;Oui;Non;Aucun;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Oui;Non
24;Marrié(e);4;26;$25 - $49;12,5;Economique;Bac +3/4;0;Non;Moins de 2;Très insatisfait;Homme;3;Oui;Oui;Oui;Non;Aucun;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
25;Non marrié(e);2;23;Inf à $25;11,3;Economique;Niveau Bac;5;Non;2 à 5;Insatistait;Homme;2;Non;Non;Non;Non;Aucun;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non
45;Marrié(e);9;76;$75 - $124;37,2;Luxe;Bac +2;13;Non;2 à 5;Insatistait;Homme;2;Non;Oui;Oui;Oui;Aucun;Non;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Non
42;Non marrié(e);19;40;$25 - $49;19,8;Standard;Bac +2;10;Non;2 à 5;Insatistait;Homme;1;Oui;Oui;Oui;Non;Dial-up;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non
35;Non marrié(e);15;57;$50 - $74;28,2;Standard;Niveau Bac;1;Non;Moins de 2;Très insatisfait;Femme;1;Non;Non;Non;Non;Aucun;Non;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Non
46;Non marrié(e);26;24;Inf à $25;12,2;Economique;Inf au Bac;11;Non;2 à 5;Très satisfait;Femme;2;Non;Non;Oui;Non;Aucun;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non
34;Marrié(e);0;89;$75 - $124;46,1;Luxe;Bac +2;12;Non;2 à 5;Satisfait;Homme;6;Oui;Non;Oui;Non;Aucun;Oui;Oui;Oui;Oui;Oui;Non;Non;Oui;Oui;Oui
55;Marrié(e);17;72;$50 - $74;35,5;Luxe;Bac +2;2;Non;Moins de 2;Neutre;Femme;2;Oui;Non;Non;Non;Dial-up;Non;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non
28;Non marrié(e);3;24;Inf à $25;11,8;Economique;Bac +3/4;4;Non;Moins de 2;Très satisfait;Homme;1;Oui;Non;Non;Oui;Dial-up;Non;Oui;Oui;Non;Non;Non;Oui;Oui;Oui;Non
